name,sex,bearers,auto_pick,auto_count,alternatives,OVERRIDE
דגן,M,437,דָּגָן,17,דָּגֹן(1),
כרם,F,436,כֶּרֶם,16,כָּרֶם(3) | כְּרֻם(1),
כרמי,F,431,כַּרְמִי,8,כַּרְמֵי(2),
ערבה,F,396,עֲרָבָה,4,עָרְבָה(2) | עֲרֻבָּה(1),
רמה,F,389,רָמָה,14,רִמָּה(5),
שלו,F,377,שָׁלוּ,5,שָׁלֵו(3) | שִׁלוֹ(2) | שְׂלָו(1),
בשמת,F,362,בָּשְׂמַת,6,בְשֵׁמֹת(1),
מטר,F,359,מָטָר,15,מְטַר(4),
בל,F,357,בַּל,63,בֵּל(3) | בָּל(1),
דודי,M,350,דּוֹדִי,20,דּוֹדַי(1),
מבשר,M,348,מִבְּשַׂר,5,מְבַשֵּׂר(5),
אביר,M,346,אֲבִיר,4,אַבִּיר(2),
ארן,M,338,אֲרֹן,5,אֹרֶן(1),
מתן,F,316,מַתָּן,6,מֻתָן(1),
שם,M,314,שָׁם,583,שֵׁם(157) | שֶׁם(6) | שֻׁם(1),
ימימה,F,313,יָמִימָה,5,יְמִימָה(1),
צמח,M,288,צֶמַח,6,צָמַח(1) | צִמֵּחַ(1),
שבתי,M,288,שַׁבְתִּי,4,שִׁבְתִּי(2) | שַׁבְּתַי(1),
יאר,M,287,יָאֵר,2,יְאֹר(2),
שריה,M,283,שְׂרָיָה,11,שָׂרֶיהָ(10),
ענב,F,273,עֵנָב,1,עֲנָב(1),
אשירה,F,270,אָשִׁירָה,11,אֲשֵׁירָה(1),
עלי,M,260,עָלַי,136,עֲלֵי(39) | עָלָי(33) | עֵלִי(27) | עֲלִי(6),
מרום,F,253,מָרוֹם,13,מְרוֹם(10) | מֵרוֹם(2),
קדם,F,243,קֶדֶם,33,קֳדָם(20),
תם,F,238,תֹּם,13,תָּם(12) | תַּם(3),
איזבל,F,238,אִיזֶבֶל,14,אִיזָבֶל(5),
מתי,F,236,מָתַי,39,מְתֵי(12) | מֵתִי(3) | מָתָי(2) | מֵתֵי(1),
פרי,F,235,פְּרִי,40,פֶּרִי(5),
לילה,F,235,לַיְלָה,49,לָיְלָה(34),
ברית,F,234,בְּרִית,134,בֹּרִית(1),
ציון,F,233,צִיּוֹן,107,צִיּוּן(1),
שבות,F,233,שְׁבוּת,13,שְׁבוֹת(1),
אדרת,F,231,אַדֶּרֶת,4,אַדָּרֶת(1),
שבע,F,228,שֶׁבַע,132,שְׁבַע(29) | שָׁבַע(21) | שְׁבֻעַ(2) | שָׂבָע(2),
לשם,F,226,לְשֵׁם,29,לֶשֶׁם(3),
צפנת,F,219,צָפַנְתָּ,3,צָפְנַת(1),
עזר,M,212,עֹזֵר,10,עֵזֶר(6) | עָזֻר(1) | עַזֻּר(1) | עֶזֶר(1),
עז,M,211,עֹז,34,עָז(8) | עַז(6) | עֵז(5),
סלי,F,209,סַלֵּי,1,סַלָּי(1),
עזריה,M,203,עֲזַרְיָה,20,עֹזְרֶיהָ(1),
פרחה,F,202,פָּרָחָה,2,פִּרְחָהּ(1) | פָּרְחָה(1),
ששי,M,192,שֵׁשַׁי,3,שִׁשִּׁי(1) | שָׁשַׁי(1),
משיח,M,190,מְשִׁיחַ,8,מָשִׁיחַ(3),
סיני,F,189,סִינַי,19,סִינָי(15),
נצח,M,186,נֶצַח,6,נֵצַח(2),
סלע,M,185,סֶלַע,14,סָלַע(4),
דברת,F,184,דִּבַּרְתָּ,40,דִּבְרַת(5) | דָּבְרַת(2) | דֹּבְרֹת(1),
מימי,F,178,מִימֵי,17,מֵימֵי(7) | מֵימַי(1) | מִיָּמָי(1),
יראת,F,174,יִרְאַת,19,יָרֵאתָ(1),
נוה,F,168,נְוֵה,7,נָוֶה(3),
קלי,F,167,קָלִי,2,קַלָּי(1),
רחמה,F,164,רַחְמָהּ,4,רֻחָמָה(4),
עזרי,M,162,עֶזְרִי,4,עֹזְרֵי(2),
בכור,M,160,בְּכוֹר,54,בְּכוּר(1),
נחלה,F,157,נַחֲלָה,40,נַחְלָה(6),
יפת,M,155,יְפַת,5,יֶפֶת(3) | יָפֶת(2) | יַפְתְּ(1) | יְפֹת(1),
כוכב,F,155,כּוֹכָב,1,כּוֹכַב(1),
נצר,M,151,נֹצֵר,7,נְצֹר(4) | נֵצֶר(1),
אהבה,F,144,אַהֲבָה,11,אֲהֵבָהּ(2) | אֱהָבֶהָ(1),
נהרה,F,143,נַהֲרָה,13,נְהָרָה(1),
ריבי,F,143,רִיבִי,7,רִיבַי(2) | רִיבֵי(1),
רע,M,140,רָע,103,רַע(22) | רֹעַ(10) | רֵעַ(5),
אני,F,139,אֲנִי,587,אָנִי(106) | אֳנִי(5),
גב,M,137,גֶּב,1,גַּב(1),
צפניה,M,136,צְפַנְיָה,8,צֹפְנֶיהָ(1),
זרח,M,132,זֶרַח,15,זָרַח(3) | זָרָח(1),
שלם,M,130,שָׁלֵם,18,שַׁלֻּם(9) | שַׁלֵּם(6) | שָׁלֹם(4) | שִׁלַּם(1),
קמי,F,127,קָמַי,4,קָמָי(1),
תמנע,F,127,תִּמְנָע,4,תִּמְנַע(4) | תִמָּנַע(1),
גבי,F,126,גֹּבַי,1,גֹּבָי(1) | גַּבִּי(1) | גַּבֵּי(1) | גַּבַּי(1),
חפצי,F,123,חֶפְצִי,6,חֲפֵצֵי(3),
עליה,F,118,עָלֶיהָ,170,עֳלֶיהָ(1),
לב,F,115,לֵב,198,לֶב(4),
אביחיל,M,109,אֲבִיחַיִל,3,אֲבִיחָיִל(1),
באר,F,106,בְּאֵר,36,בֵּאֵר(1) | בַּאֵר(1),
יער,F,104,יַעַר,16,יָעַר(8),
גאל,F,104,גֹּאֵל,18,גָּאֹל(3) | גָּאַל(3) | גְּאָל(1) | גְּאַל(1),
שובי,F,103,שׁוּבִי,10,שׁוּבֵי(1),
מלכי,F,102,מַלְכֵי,110,מַלְכִּי(12) | מָלְכִי(1) | מִלְכִּי(1),
שושן,F,101,שׁוּשַׁן,4,שׁוֹשָׁן(2) | שׁוּשָׁן(2),
מלכות,F,99,מַלְכוּת,30,מְּלָכוֹת(2) | מַלְכְוָת(1),
ימין,M,98,יָמִין,22,יְמִין(12),
מתת,F,98,מַתַּת,4,מִתֵּת(2) | מַתָּת(1),
מגן,M,95,מָגֵן,27,מִגַּן(1) | מִגֵּן(1),
דבש,F,93,דְּבַשׁ,14,דְּבָשׁ(1),
סוף,F,92,סוּף,26,סוֹף(3),
עזי,M,91,עֻזִּי,13,עָזִּי(3) | עַזֵּי(1),
ספי,F,87,סִפִּי,1,סִפַּי(1),
נהר,F,85,נְהַר,18,נָהָר(9),
אילן,F,84,אֵילֹן,1,אִילָן(1),
ייטב,M,84,יִיטַב,16,יֵיטִב(3) | יֵיטֵב(1) | יֵיטַב(1),
ראות,F,83,רֹאוֹת,7,רְאוֹת(4),
